"","Date","水泥","食品","塑膠","紡織","電機","電纜","玻璃","造紙","鋼鐵","橡膠","汽車","營建","航運","觀光","金融","百貨","其他","化學","生技","油電","半導體","電腦","光電","通信","零組件","電通","資服","其他電","化生","電子","窯製","化工","日新增案例-7日簡單平均線"
"18",2021-04-11,185.688571428571,1903.148,283.674857142857,610.813428571428,266.066857142857,67.2902857142857,56.3671428571428,382.770285714286,133.769714285714,363.607142857143,348.498571428571,363.788571428571,121.424,109.101428571429,1393.15428571429,282.697714285714,351.454571428571,122.010857142857,72.7485714285715,127.153142857143,418.418285714286,144.382285714286,48.7114285714286,130.056285714286,178.441428571429,162.930571428571,136.217142857143,112.01,113.621428571429,843.93,704.319142857143,957.244857142857,1.42857142857143
"19",2021-04-12,185.814285714286,1903.58857142857,285.311428571429,614.892857142857,267.534285714286,67.8542857142857,56.4871428571428,388.401428571429,136.318571428571,368.635714285714,348.508571428571,363.784285714286,122.631428571429,109.005714285714,1395.05142857143,283.065714285714,352.682857142857,122.57,72.8571428571429,127.315714285714,418.144285714286,144.405714285714,49.24,130.065714285714,178.022857142857,162.934285714286,136.351428571429,111.867142857143,113.968571428571,843.788571428571,704.935714285714,963.26,1.42857142857143
"20",2021-04-13,186.167142857143,1904.68857142857,286.824285714286,617.934285714286,268.008571428572,68.2728571428571,56.47,395.995714285714,138.768571428571,371.467142857143,348.478571428571,363.451428571429,124.072857142857,108.848571428571,1397.33428571429,283.528571428571,353.985714285714,122.97,72.7257142857143,127.761428571429,417.631428571429,144.15,49.5528571428571,130.082857142857,177.315714285714,162.772857142857,136.388571428571,111.851428571429,114.058571428571,842.971428571429,706.061428571429,967.785714285714,1.71428571428571
"21",2021-04-14,186.517142857143,1904.86428571429,288.597142857143,620.862857142857,267.894285714286,68.5914285714286,56.8742857142857,403.407142857143,141.815714285714,373,348.217142857143,362.751428571429,125.571428571429,108.727142857143,1399.12142857143,283.79,354.805714285714,123.34,72.37,127.96,417.407142857143,143.902857142857,49.5471428571429,130.045714285714,176.25,162.217142857143,136.145714285714,111.588571428571,113.961428571429,841.927142857143,707.902857142857,972.117142857143,2.42857142857143
"22",2021-04-15,187.357142857143,1905.72857142857,291.775714285714,622.774285714286,267.121428571429,69.1042857142857,57.3128571428571,409.437142857143,144.178571428571,376.115714285714,347.8,362.258571428571,126.798571428571,108.65,1405.04142857143,284.134285714286,356.395714285714,123.802857142857,72.17,128.518571428571,417.381428571429,143.657142857143,49.5057142857143,130.215714285714,175.461428571429,161.738571428571,135.825714285714,111.318571428571,114.028571428571,841.304285714286,711.402857142857,980.422857142857,2.57142857142857
"23",2021-04-16,188.875714285714,1909.39571428571,294.768571428571,626.717142857143,267.05,70.0414285714286,58.3928571428571,418.187142857143,148.054285714286,378.455714285714,348.228571428571,362.551428571429,129.637142857143,108.641428571429,1412.85571428571,284.435714285714,358.008571428571,124.407142857143,71.9828571428572,129.2,417.227142857143,143.904285714286,49.5828571428571,130.385714285714,175.045714285714,161.831428571429,135.597142857143,111.598571428571,114.172857142857,841.327142857143,718.23,988.175714285714,2.28571428571429
"24",2021-04-17,190.587619047619,1914.96476190476,297.948095238095,631.309523809524,266.975238095238,71.0695238095238,59.5771428571429,425.896666666667,152.272380952381,380.755714285714,348.840952380952,363.368571428571,132.628571428571,108.80380952381,1421.38285714286,284.841904761905,359.668095238095,125.087142857143,71.7671428571429,129.930476190476,417.104761904762,144.162380952381,49.6252380952381,130.602857142857,174.782857142857,162.010476190476,135.474761904762,111.820476190476,114.331428571429,841.422380952381,725.87,996.356666666667,2.28571428571429
"25",2021-04-18,192.492857142857,1922.43571428571,301.314285714286,636.551428571428,266.897142857143,72.1885714285714,60.8657142857143,432.565714285714,156.832857142857,383.015714285714,349.637142857143,364.71,135.772857142857,109.137142857143,1430.62285714286,285.352857142857,361.374285714286,125.842857142857,71.5228571428572,130.71,417.014285714286,144.431428571429,49.6328571428571,130.867142857143,174.672857142857,162.275714285714,135.458571428571,111.984285714286,114.504285714286,841.59,734.322857142857,1004.96571428571,2.28571428571429
"26",2021-04-19,194.591428571429,1931.80857142857,304.867142857143,642.442857142857,266.815714285714,73.3985714285714,62.2585714285714,438.194285714286,161.735714285714,385.235714285714,350.617142857143,366.575714285714,139.07,109.641428571429,1440.57571428571,285.968571428571,363.127142857143,126.674285714286,71.25,131.538571428571,416.955714285714,144.711428571429,49.6057142857143,131.178571428571,174.715714285714,162.627142857143,135.548571428571,112.09,114.691428571429,841.83,743.588571428572,1014.00285714286,2.57142857142857
"27",2021-04-20,197.058571428571,1941.67285714286,307.964285714286,648.674285714286,267.831428571429,74.6557142857143,63.5114285714286,441.118571428571,166.74,390.111428571429,352.091428571429,368.46,142.398571428571,110.23,1450.00285714286,286.768571428571,364.902857142857,127.527142857143,71.3342857142858,132.065714285714,417.122857142857,145.337142857143,49.8414285714286,131.628571428571,175.42,163.421428571429,135.845714285714,112.091428571429,115.16,843.038571428571,753.815714285715,1023.43714285714,2.28571428571429
