"","Date","水泥","食品","塑膠","紡織","電機","電纜","玻璃","造紙","鋼鐵","橡膠","汽車","營建","航運","觀光","金融","百貨","其他","化學","生技","油電","半導體","電腦","光電","通信","零組件","電通","資服","其他電","化生","電子","窯製","化工"
"18",2021-04-11,0.00238460341237534,4.55531377427931e-05,0.00619218444872782,0.00580532148462432,0.0011520952681936,0.0112188836047888,0.00838653627950503,0.031081235826532,0.0182888366599903,0.00913513842700464,-0.00105330700228823,-0.0012943203183875,0.0191452754923853,-0.00239102560114368,0.00543633359432505,0.000516886942492079,0.00315502106835286,0.00548153721087807,0.00287572947239756,0.00057543420713202,-0.00401250648254869,-0.00094641236015125,0.00919454808483877,-0.00220275689702465,-0.00540720077755807,-0.000513531567799319,-0.00190336807096791,-0.00017992083531837,0.00419177978203233,-0.00280626110594806,0.00320010861332332,0.00618158700177762
"19",2021-04-12,0.00237893060365835,4.55510627492828e-05,0.00615407714690885,0.00577181415434769,0.001150769471983,0.011094415359203,0.00831678683953552,0.0301442423667959,0.0179603536935717,0.00905244254140936,-0.00105441762786196,-0.00129599775484923,0.0187856090523084,-0.00239675630957681,0.00540693959496164,0.000516619908401239,0.00314509820903641,0.00545165369387579,0.00286748336032083,0.000575103273027011,-0.00402867157513587,-0.000947308905074884,0.00911077801352445,-0.00220761974862249,-0.00543659762447479,-0.00051379541797214,-0.00190699779077175,-0.000179953212650297,0.00417428208526882,-0.00281415837433663,0.00318990057632895,0.00614360962419092
"20",2021-04-13,0.00891076514718758,0.0033790020029878,-0.00150922715071022,-0.00993343210235231,-0.0245627701632483,-0.0137057616857224,0.000174962820846503,0.0366593441017447,-0.000834724589369173,-0.037153920882246,2.87715966811319e-05,-0.00456312411133464,0.0168425033944981,-0.00323550085814794,0.00181001948161441,0.00189980355480035,0.00179276778457105,-0.00701474353942722,-0.0245699040026617,0.0167156467345775,-0.000820562372576994,-0.0131231814932695,-0.0302234552510838,0.00130975788206289,-0.00961931265012694,-0.00581396986541982,-0.0060383099522312,0.00967142847922009,-0.0153916462230255,-0.00318888104121573,0.00773214221714547,-0.00909644150805811
"21",2021-04-14,-0.00202063240079475,-0.000371970215238271,0.00438416923630935,-0.000805399441097698,0.00598963085646886,0.00174165501209878,0.0306656242478818,-0.00861065734776467,0.0553629422786228,-0.0109912143851201,-0.00178540622212875,-0.0005545235398694,0.0185389099943185,0.00258923762188079,-0.000631360176471141,-0.000175756191464593,-0.00550053305023024,0.00210152033372424,-0.0170534750801208,-0.00773997672031701,0.00702533925946014,0.000421496318147696,-0.0190794586485561,0.00161557137882262,-0.0098870453578952,-0.00354202638454293,-0.00979745089354989,-0.00814285739527598,-0.00716405133633025,0.00218673349850373,0.00254552712349376,6.14640742684358e-05
"22",2021-04-15,0.0202857400122225,0.0021094900817058,0.0323156513735627,0.015763967746123,0.00523985743221544,0.034631177158932,0.00659510296100407,0.0102867134224178,0.0122371713230258,0.049473831386873,0.00198678422370158,0.00387522283063557,0.00212298206963801,0.00946741755964364,0.0155678317368082,0.00179126542811936,0.0189552713684309,0.0124374722634517,0.0117290965216492,0.0212945741064319,0.0123189186682229,0.00630121807672968,0.0133733090717016,0.00681812117643954,0.0145364811651678,0.00360405535209107,0.00631995857997936,-0.00197859584290061,0.0120871382026992,0.0106381455847515,0.0183118036423373,0.0305763885188872
"23",2021-04-16,0.0214662525426865,0.00815000436192381,0.0168324866675995,0.0213590449415522,0.00801382359496117,0.0364476841909278,0.0646122585166617,0.0189384764074765,0.0600773654514457,0.0142180039616413,0.0114973381471337,0.0107440753247205,0.0581845898266407,-0.0021980043650931,0.00568484183909579,0.00234836511070835,0.00674237160322733,0.00999770288946422,0.00308598926349202,0.00478052281976638,-0.00906361396001731,0.0211319237034271,0.0192294155108037,0.00593744607947766,0.0047419176465624,0.0112870103798732,0.00347749231357053,0.0184637096409483,0.00672991221619945,-0.00102799827085587,0.0276880628714169,0.0145187384826402
"24",2021-04-17,0.00913047243508114,0.00692587971966407,0.0100252818531814,0.0125855106492549,0.00106864168428267,0.0188205171643885,0.0188345204994587,0.0113542598865406,0.0299070042533573,0.0081208079633468,0.00261274714120407,0.00870801192219162,0.0242614405919737,0.00855109207589777,0.00870130060243124,0.00307606506534075,0.00395996758252348,0.00948172325288876,0.000140046215479472,0.00314921215110342,-0.00347110358449143,-0.00041008817470356,0.00433435146605721,0.000328826723928088,0.00064574947165319,0.0031841310351064,0.00356357668310459,-0.00377793312602748,0.00503954494327719,-0.00219739123657092,0.010545550665543,0.00880332858978683
"25",2021-04-18,0.00904786062433516,0.0068782416561568,0.00992577236246994,0.0124290822629618,0.00106750090820462,0.018472838713417,0.0184863292496207,0.0112267866788036,0.0290384872391156,0.00805539132075239,0.00260593847903046,0.00863283660715464,0.023686738667557,0.00847859043041677,0.0086262406202291,0.00306663189867429,0.00394434807169386,0.00939266395173632,0.000140026605284227,0.00313932574019127,-0.003483194124283,-0.000410256416010668,0.00431564591071965,0.000328718632456315,0.000645332748357319,0.00317402451662385,0.00355092268447788,-0.00379226004799094,0.00501427522471154,-0.00220223040030554,0.0104355015460493,0.00872650579998169
"26",2021-04-19,0.00896673034937301,0.00683125445323007,0.00982821890583629,0.0122764947594902,0.00106636256509063,0.0181377731991637,0.0181507785978896,0.0111021439820114,0.0282189943731774,0.00799102018084419,0.00259916521057146,0.00855894815128089,0.0231386348380358,0.00840730788679345,0.00855246454955783,0.00305725641131538,0.00392885129465359,0.00930526211512284,0.000140007000578812,0.00312950120844935,-0.00349536918604709,-0.000410424795417974,0.00429710111520443,0.000328610612023716,0.000644916562565712,0.00316398195193557,0.00353835823480164,-0.00380669604668959,0.00498925766147273,-0.00220709092500559,0.0103277255818153,0.00865101221676223
"27",2021-04-20,0.0208960625587222,0.00500705478428642,-0.0115307092085208,-0.00573067470898536,0.00422943421892974,-0.00795385848145624,-0.0146053940089743,-0.00770887454032643,0.00330652919856345,0.0114594448178762,0.00974302606885313,-0.00405636764567596,0.0157161185117136,0.00214285796282798,-0.000765243103598046,0.00632793134912468,0.0021660267308663,-0.00554188610490414,0.0100293360529982,0.000299917524928972,0.00298989926879667,0.003687773079184,0.00650954069015652,0.0086064248580211,0.0166421351414456,0.0130365778944936,0.00459335137392536,0.00312374746398714,0.00180033483407893,0.00487918769843354,0.015688960688875,-0.00587415346937181
