"","BTC","Oil","Gold","new_cases","total_cases","BTC_ROC","Oil_ROC","Gold_ROC","BTC_7MA","Oil_7MA","Gold_7MA","new_cases_7MA","new_cases_ROC"
"2020-03-20",6198.77832,22.43,1484,6367,20029,0.00122444997341731,-0.117237942353585,0.00364546683589673,5494.45717071428,26.3000004285714,1493.18572114286,2544.42857142857,0.348378681488551
"2020-03-21",6185.066406,22.7400003333333,1511.66666666667,5995,26024,-0.00221448506613697,0.0137261544487308,0.0184716501538018,5635.12862714285,25.1600004285714,1494.02858180952,3292.42857142857,-0.0602016379880315
"2020-03-22",5830.254883,23.0500006666667,1539.33333333333,8873,34897,-0.0590770237899498,0.0135402953844412,0.0181366273652035,5697.691476,24.2085718571429,1500.24286757143,4526.57142857143,0.39208175902758
"2020-03-23",6416.314941,23.360001,1567,11238,46135,0.0957832375559882,0.0133594024029553,0.0178135411096898,5897.95361328571,23.4457147142857,1511.82857842857,5922.42857142857,0.236285563095832
"2020-03-24",6734.803711,24.01,1660.199951,10619,56754,0.0484447086462367,0.0274452094649176,0.0577750841503972,6113.54994414285,23.0257145714286,1531.15713942857,7177.57142857143,-0.0566555245709548
"2020-03-25",6681.062988,24.49,1632.300049,12082,68836,-0.00801155999109682,0.0197944607309144,-0.0169479543274376,6319.63916,23.6142858571429,1553.29999657143,8524,0.129070751997711
"2020-03-26",6716.44043,22.6,1650.099976,17856,86692,0.00528121145003979,-0.0803149646858361,0.0108457843952054,6394.67452557143,23.2400002857143,1577.79999657143,10432.8571428571,0.390620168083975
"2020-03-27",6469.79834,21.51,1623.900024,18690,105382,-0.0374133767216875,-0.0494319629986015,-0.0160051993239092,6433.39167128571,23.1085717142857,1597.78571428571,12193.2857142857,0.0456487853663052
"2020-03-28",6242.193848,21.0366666666667,1623.26668266667,19630,125012,-0.0358132407598717,-0.0222509963516,-0.000390088590194182,6441.55273442857,22.8652383333333,1613.72857371429,14141.1428571429,0.0490701306109518
"2020-03-29",5922.042969,20.5633333333333,1622.63334133333,18899,143911,-0.0526502133185183,-0.0227573923746012,-0.000390240818687104,6454.66531814286,22.5100001428571,1625.62857485714,15573.4285714286,-0.0379498006347436
"2020-03-30",6429.841797,20.09,1622,22075,165986,0.0822684485800114,-0.0232873757265946,-0.000390393166036951,6456.59772614286,22.0428571428571,1633.48571771429,17121.5714285714,0.155335974606933
"2020-03-31",6438.644531,20.48,1583.400024,26314,192300,0.00136810735134674,0.0192266213444641,-0.0240855067807688,6414.28927185714,21.5385714285714,1622.51429957143,19363.7142857143,0.175654640703755
"2020-04-01",6606.776367,20.309999,1578.199951,32259,224559,0.0257778031761244,-0.0083354738158441,-0.00328952285568462,6403.67689742857,20.9414284285714,1614.78571414286,22246.1428571429,0.203695256786954
